inventor_id,name,country
fl:su_ln:lee-469,Su Jin Lee,
fl:ta_ln:nara-5,Takashi Nara,JP
fl:fr_ln:weisenborn-1,Frank L. Weisenborn,US
fl:th_ln:kaiser-5,Thomas Kaiser,
fl:br_ln:tockman-1,Bruce A. Tockman,
fl:ma_ln:baker-61,Martin C. Baker,US
fl:ho_ln:simionescu-1,Horia Simionescu,US
fl:ju_ln:koch-9,Juergen Koch,
fl:ko_ln:nose-4,Koichi Nose,
fl:ch_ln:li-887,Chao Li,CN
fl:er_ln:ruhrnschopf-1,Ernst-Peter Rührnschopf,DE
fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,
fl:al_ln:henderson-19,Alex E. Henderson,
fl:wa_ln:malkin-2,Wayne Allan Malkin,
fl:sh_ln:li-490,Shubo Li,
fl:hi_ln:watanabe-59,Hiroshi Watanabe,
fl:ha_ln:hsu-68,Hank Hsu,
fl:ro_ln:hurd-6,Robert J. Hurd,
fl:hi_ln:nagao-18,Hideki Nagao,JP
fl:na_ln:nagashima-3,Nao Nagashima,JP
fl:ri_ln:todd-3,Richard Simon Todd,
fl:ge_ln:zhang-60,George(Huanyi) Zhang,US
fl:sy_ln:galineau-1,Sylvain P. Galineau,
fl:sa_ln:morinaga-3,Satoshi Morinaga,
fl:ma_ln:oshiro-11,Marc Oshiro,
fl:ji_ln:choi-278,Jinsoo CHOI,KR
fl:ti_ln:hartjes-1,Timothy P. Hartjes,
fl:da_ln:meyer-50,Daniel Meyer,US
fl:ja_ln:andersson-5,Jan Andersson,
fl:de_ln:stephens-2,Dennis L. Stephens,
fl:me_ln:siebert-1,Melissa Siebert,
fl:er_ln:townsend-4,Eric Christopher TOWNSEND,
fl:ta_ln:taura-2,Tadayuki Taura,
fl:he_ln:gaub-2,Hermann Gaub,
fl:ge_ln:provost-1,George A. Provost,US
fl:da_ln:motov-1,David L. Motov,
fl:ho_ln:jaeschke-1,Horst Jaeschke,
fl:bo_ln:cichon-1,Bob A. Cichon,
fl:st_ln:yu-18,Stephanie Yu,
fl:su_ln:jung-217,Sunghoon Jung,KR
fl:de_ln:hsu-7,Derek Hsen Dai Hsu,
fl:ro_ln:crook-2,Ronald J. Crook,
fl:ne_ln:joshi-7,Neeta Joshi,IN
fl:ku_ln:tzeng-1,Kuo-Hwa Tzeng,
fl:sa_ln:khan-54,Sana Fahim Khan,
fl:ar_ln:henry-2,Arnold W. Henry,
fl:ta_ln:uda-13,Taizo Uda,
000c0a89h3umx2083c1fhf6sc,Arthur R. Stennett,
fl:lu_ln:fanucci-1,Luca Fanucci,
fl:jo_ln:ferrerbeltran-2,Jose M. Ferrer Beltran,
fl:an_ln:sundstrom-1,Andrew Sundstrom,
fl:sa_ln:ganu-2,Sachin Ganu,
fl:ri_ln:schatzberger-1,Richard Schatzberger,
